frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
190,1519.9564,2557.4510,1372.6636,2667.7148,1,0,669,602,0.8999,0.6152,173.5
191,1515.6209,2551.0739,1368.0472,2661.5481,1,0,662,585,0.8837,0.6281,174.7
192,1511.2752,2544.5993,1363.3802,2655.3139,1,0,643,588,0.9145,0.6037,180.3
193,1506.8225,2538.4610,1358.8363,2649.2440,1,0,649,602,0.9276,0.5972,169.1
194,1502.6139,2531.9868,1354.2188,2643.0759,1,0,651,589,0.9048,0.6143,182.2
195,1498.2873,2525.7986,1349.6962,2637.0344,1,0,642,604,0.9408,0.5978,165.6
196,1493.8668,2519.4127,1345.0450,2630.8212,1,0,664,622,0.9367,0.6021,165.8
197,1489.8286,2513.0537,1340.5440,2624.8087,1,0,654,612,0.9358,0.6062,175.8
198,1485.4544,2506.6780,1335.9142,2618.6242,1,0,686,655,0.9548,0.6011,184.1
199,1481.2351,2500.4063,1331.3901,2612.5808,1,0,689,652,0.9463,0.6002,168.3
200,1476.8856,2493.9943,1326.7518,2606.3849,1,0,694,663,0.9553,0.6007,162.7
201,1472.6343,2487.5124,1322.1153,2600.1914,1,0,689,646,0.9376,0.6038,165.3
202,1468.3434,2481.3707,1317.6279,2594.1969,1,0,704,684,0.9716,0.6001,166.9
203,1463.9441,2475.0791,1313.0295,2588.0543,1,0,721,694,0.9626,0.5986,165.1
204,1459.6094,2468.8643,1308.4912,2581.9919,1,0,702,666,0.9487,0.5997,167.6
205,1455.3141,2462.6952,1303.9889,2575.9777,1,0,702,665,0.9473,0.6043,160.2
206,1450.8030,2456.6411,1299.4644,2569.9337,1,0,721,685,0.9501,0.6020,165.1
207,1446.4053,2450.6255,1294.9990,2563.9688,1,0,721,687,0.9528,0.6024,167.6
208,1442.0216,2444.7175,1290.5903,2558.0795,1,0,704,676,0.9602,0.6011,170.4
209,1437.2769,2438.4834,1285.8954,2551.8080,1,0,713,677,0.9495,0.6013,174.5
210,1433.0722,2432.9076,1281.7104,2546.2176,1,0,719,689,0.9583,0.6023,174.8
211,1428.5089,2427.0844,1277.2778,2540.2965,1,0,711,682,0.9592,0.6025,166.0
212,1423.9846,2421.3146,1272.8849,2534.4283,1,0,704,672,0.9545,0.6003,191.8
213,1419.4420,2415.6275,1268.5251,2528.6044,1,0,718,685,0.9540,0.6000,191.2
214,1414.8499,2409.9127,1264.1342,2522.7390,1,0,730,693,0.9493,0.6006,219.2
215,1410.0689,2404.1409,1259.6481,2516.7464,1,0,684,642,0.9386,0.6043,205.6
216,1405.5296,2398.3993,1255.2633,2510.8891,1,0,719,680,0.9458,0.6008,204.1
217,1400.9641,2393.1723,1251.1160,2505.3490,1,0,719,688,0.9569,0.6008,165.9
218,1396.3278,2387.6744,1246.8134,2499.6014,1,0,742,716,0.9650,0.6010,172.9
219,1391.5933,2381.9160,1242.3504,2493.6397,1,0,739,706,0.9553,0.6016,194.3
220,1386.9066,2376.6797,1238.1551,2488.0355,1,0,757,731,0.9657,0.5990,178.7
221,1382.0258,2371.0659,1233.7090,2482.0963,1,0,760,733,0.9645,0.5977,168.1
